REFKEY	TITLE	TITLE2	AUTHORS	AUTHORS2	JOURNAL	VOLUME	YEAR	PAGES	JNUM	PMID
93539	Therapy-induced malignant neoplasms in Nf1 mutant mice.		Chao RC; Pyzel U; Fridlyand J; Kuo YM; Teel L; Haaga J; Borowsky A; Horvai A; Kogan SC; Bonifas J; Huey B; Jacks TE; Albertson DG; Shannon KM		Cancer Cell	8	2005	337-48	J:103509	16226708
93540	Genotype-phenotype relationships in a mouse model for human small-cell lung cancer.		Calbo J; Meuwissen R; van Montfort E; van Tellingen O; Berns A		Cold Spring Harb Symp Quant Biol	70	2005	225-32	J:115156	16869758
93541	The E3 ligase HACE1 is a critical chromosome 6q21 tumor suppressor involved in multiple cancers.		Zhang L; Anglesio MS; O'sullivan M; Zhang F; Yang G; Sarao R; Nghiem MP; Cronin S; Hara H; Melnyk N; Li L; Wada T; Liu PP; Farrar J; Arceci RJ; Sorensen PH; Penninger JM		Nat Med	13	2007	1060-1069	J:125183	17694067
93542	Inactivation of conditional Rb by Villin-Cre leads to aggressive tumors outside the gastrointestinal tract.		Kucherlapati MH; Nguyen AA; Bronson RT; Kucherlapati RS		Cancer Res	66	2006	3576-83	J:108215	16585182
93543	Somatic loss of BRCA1 and p53 in mice induces mammary tumors with features of human BRCA1-mutated basal-like breast cancer.		Liu X; Holstege H; van der Gulden H; Treur-Mulder M; Zevenhoven J; Velds A; Kerkhoven RM; van Vliet MH; Wessels LF; Peterse JL; Berns A; Jonkers J		Proc Natl Acad Sci U S A	104	2007	12111-6	J:126551	17626182
93544	Atm heterozygosity cooperates with loss of Brca1 to increase the severity of mammary gland cancer and reduce ductal branching.		Bowen TJ; Yakushiji H; Montagna C; Jain S; Ried T; Wynshaw-Boris A		Cancer Res	65	2005	8736-46	J:102687	16204043
93545	Retroviral insertions in the VISION database identify molecular pathways in mouse lymphoid leukemia and lymphoma.		Weiser KC; Liu B; Hansen GM; Skapura D; Hentges KE; Yarlagadda S; Morse Iii HC; Justice MJ		Mamm Genome	18	2007	709-22	J:126376	17926094
93546	The tumor suppressors Ink4c and p53 collaborate independently with Patched to suppress medulloblastoma formation.		Uziel T; Zindy F; Xie S; Lee Y; Forget A; Magdaleno S; Rehg JE; Calabrese C; Solecki D; Eberhart CG; Sherr SE; Plimmer S; Clifford SC; Hatten ME; McKinnon PJ; Gilbertson RJ; Curran T; Sherr CJ; Roussel MF		Genes Dev	19	2005	2656-67	J:102702	16260494
93547	Somatic inactivation of E-cadherin and p53 in mice leads to metastatic lobular mammary carcinoma through induction of anoikis resistance and angiogenesis.		Derksen PW; Liu X; Saridin F; van der Gulden H; Zevenhoven J; Evers B; van Beijnum JR; Griffioen AW; Vink J; Krimpenfort P; Peterse JL; Cardiff RD; Berns A; Jonkers J		Cancer Cell	10	2006	437-49	J:116152	17097565
93548	A pathway in quiescent cells that controls p27Kip1 stability, subcellular localization, and tumor suppression.		Besson A; Gurian-West M; Chen X; Kelly-Spratt KS; Kemp CJ; Roberts JM		Genes Dev	20	2006	47-64	J:103819	16391232
93549	Induction of renal tumorigenesis with elevated levels of somatic loss of heterozygosity in Tsc1+/- mice on a Blm-deficient background.		Wilson C; Idziaszczyk S; Colley J; Humphreys V; Guy C; Maynard J; Sampson JR; Cheadle JP		Cancer Res	65	2005	10179-82	J:103410	16288003
93550	Lung adenocarcinomas induced in mice by mutant EGF receptors found in human lung cancers respond to a tyrosine kinase inhibitor or to down-regulation of the receptors.		Politi K; Zakowski MF; Fan PD; Schonfeld EA; Pao W; Varmus HE		Genes Dev	20	2006	1496-510	J:109092	16705038
93551	XRCC4 suppresses medulloblastomas with recurrent translocations in p53-deficient mice.		Yan CT; Kaushal D; Murphy M; Zhang Y; Datta A; Chen C; Monroe B; Mostoslavsky G; Coakley K; Gao Y; Mills KD; Fazeli AP; Tepsuporn S; Hall G; Mulligan R; Fox E; Bronson R; De Girolami U; Lee C; Alt FW		Proc Natl Acad Sci U S A	103	2006	7378-83	J:109585	16670198
93552	Patched2 modulates tumorigenesis in patched1 heterozygous mice.		Lee Y; Miller HL; Russell HR; Boyd K; Curran T; McKinnon PJ		Cancer Res	66	2006	6964-71	J:112118	16849540
93553	A mouse model of basal-like breast carcinoma with metaplastic elements.		McCarthy A; Savage K; Gabriel A; Naceur C; Reis-Filho JS; Ashworth A		J Pathol	211	2007	389-98	J:119996	17212342
93554	Murine bilateral retinoblastoma exhibiting rapid-onset, metastatic progression and N-myc gene amplification.		MacPherson D; Conkrite K; Tam M; Mukai S; Mu D; Jacks T		EMBO J	26	2007	784-94	J:119919	17235288
93555	Conditional deletion of Smad1 and Smad5 in somatic cells of male and female gonads leads to metastatic tumor development in mice.		Pangas SA; Li X; Umans L; Zwijsen A; Huylebroeck D; Gutierrez C; Wang D; Martin JF; Jamin SP; Behringer RR; Robertson EJ; Matzuk MM		Mol Cell Biol	28	2008	248-57	J:128934	17967875
93556	Heterogeneous tumor evolution initiated by loss of pRb function in a preclinical prostate cancer model.		Hill R; Song Y; Cardiff RD; Van Dyke T		Cancer Res	65	2005	10243-54	J:103408	16288012
93557	Molecular fingerprinting and autocrine growth regulation of endothelial cells in a murine model of hepatocellular carcinoma.		Ryschich E; Lizdenis P; Ittrich C; Benner A; Stahl S; Hamann A; Schmidt J; Knolle P; Arnold B; Hammerling GJ; Ganss R		Cancer Res	66	2006	198-211	J:105110	16397233
93558	Copy number aberrations in mouse breast tumors reveal loci and genes important in tumorigenic receptor tyrosine kinase signaling.		Hodgson JG; Malek T; Bornstein S; Hariono S; Ginzinger DG; Muller WJ; Gray JW		Cancer Res	65	2005	9695-704	J:102690	16266989
93559	A conditional mouse model for malignant mesothelioma.		Jongsma J; van Montfort E; Vooijs M; Zevenhoven J; Krimpenfort P; van der Valk M; van de Vijver M; Berns A		Cancer Cell	13	2008	261-71	J:132943	18328429
93560	A genetic mouse model for metastatic lung cancer with gender differences in survival.		Zheng S; El-Naggar AK; Kim ES; Kurie JM; Lozano G		Oncogene	26	2007	6896-904	J:129627	17486075
93561	A novel SV40 TAg transgenic model of asbestos-induced mesothelioma: malignant transformation is dose dependent.		Robinson C; van Bruggen I; Segal A; Dunham M; Sherwood A; Koentgen F; Robinson BW; Lake RA		Cancer Res	66	2006	10786-94	J:116125	17108115
93562	The differential effects of mutant p53 alleles on advanced murine lung cancer.		Jackson EL; Olive KP; Tuveson DA; Bronson R; Crowley D; Brown M; Jacks T		Cancer Res	65	2005	10280-8	J:103407	16288016
93563	A mouse model for tumor progression of lung cancer in ras and p53 transgenic mice.		Wang Y; Zhang Z; Lubet RA; You M		Oncogene	25	2006	1277-80	J:107333	16247444
93564	Tumor spectrum, tumor latency and tumor incidence of the pten-deficient mice.		Lu TL; Chang JL; Liang CC; You LR; Chen CM		PLoS ONE	2	2007	e1237	J:130367	18043744
93565	Conditional expression of the mutant Ki-rasG12C allele results in formation of benign lung adenomas: development of a novel mouse lung tumor model.		Floyd HS; Farnsworth CL; Kock ND; Mizesko MC; Little JL; Dance ST; Everitt J; Tichelaar J; Whitsett JA; Miller MS		Carcinogenesis	26	2005	2196-206	J:102839	16051643
93566	Existence of a threshold-like dose for gamma-ray induction of thymic lymphomas and no susceptibility to radiation-induced solid tumors in SCID mice.		Ishii-Ohba H; Kobayashi S; Nishimura M; Shimada Y; Tsuji H; Sado T; Ogiu T		Mutat Res	619	2007	124-33	J:120953	17397880
93567	p18Ink4c, but not p27Kip1, collaborates with Men1 to suppress neuroendocrine organ tumors.		Bai F; Pei XH; Nishikawa T; Smith MD; Xiong Y		Mol Cell Biol	27	2007	1495-504	J:118265	17145768
93568	Broad tumor spectrum in a mouse model of multiple endocrine neoplasia type 1.		Loffler KA; Biondi CA; Gartside M; Waring P; Stark M; Serewko-Auret MM; Muller HK; Hayward NK; Kay GF		Int J Cancer	120	2007	259-67	J:116086	17044021
93569	Important role of the LKB1-AMPK pathway in suppressing tumorigenesis in PTEN-deficient mice.		Huang X; Wullschleger S; Shpiro N; McGuire VA; Sakamoto K; Woods YL; McBurnie W; Fleming S; Alessi DR		Biochem J	412	2008	211-21	J:136150	18387000
93570	Identification of the retinoic acid-inducible Gprc5a as a new lung tumor suppressor gene.		Tao Q; Fujimoto J; Men T; Ye X; Deng J; Lacroix L; Clifford JL; Mao L; Van Pelt CS; Lee JJ; Lotan D; Lotan R		J Natl Cancer Inst	99	2007	1668-82	J:127821	18000218
93571	Lack of augmentation of tumor spectrum or severity in dual heterozygous Men1 and Rb1 knockout mice.		Loffler KA; Biondi CA; Gartside MG; Serewko-Auret MM; Duncan R; Tonks ID; Mould AW; Waring P; Muller HK; Kay GF; Hayward NK		Oncogene	26	2007	4009-17	J:122890	17173065
93572	Tempol protects against oxidative damage and delays epithelial tumor onset in Fanconi anemia mice.		Zhang QS; Eaton L; Snyder ER; Houghtaling S; Mitchell JB; Finegold M; Van Waes C; Grompe M		Cancer Res	68	2008	1601-8	J:132758	18316625
93573	The inherent instability of mutant p53 is alleviated by Mdm2 or p16INK4a loss.		Terzian T; Suh YA; Iwakuma T; Post SM; Neumann M; Lang GA; Van Pelt CS; Lozano G		Genes Dev	22	2008	1337-44	J:134767	18483220
93574	Distinct versus overlapping functions of MDC1 and 53BP1 in DNA damage response and tumorigenesis.		Minter-Dykhouse K; Ward I; Huen MS; Chen J; Lou Z		J Cell Biol	181	2008	727-35	J:137023	18504301
93575	p53 Binding protein 53BP1 is required for DNA damage responses and tumor suppression in mice.		Ward IM; Minn K; van Deursen J; Chen J		Mol Cell Biol	23	2003	2556-63	J:82512	12640136
93576	Cell lineage-specific interactions between Men1 and Rb in neuroendocrine neoplasia.		Matoso A; Zhou Z; Hayama R; Flesken-Nikitin A; Nikitin AY		Carcinogenesis	29	2008	620-8	J:133299	17893233
93577	Resolution of sister centromeres requires RanBP2-mediated SUMOylation of topoisomerase IIalpha.		Dawlaty MM; Malureanu L; Jeganathan KB; Kao E; Sustmann C; Tahk S; Shuai K; Grosschedl R; van Deursen JM		Cell	133	2008	103-15	J:137482	18394993
93578	Tumor suppression by p53 in the absence of Atm.		Bailey SL; Gurley KE; Hoon-Kim K; Kelly-Spratt KS; Kemp CJ		Mol Cancer Res	6	2008	1185-92	J:139874	18583527
93579	Mtbp haploinsufficiency in mice increases tumor metastasis.		Iwakuma T; Tochigi Y; Van Pelt CS; Caldwell LC; Terzian T; Parant JM; Chau GP; Koch JG; Eischen CM; Lozano G		Oncogene	27	2008	1813-20	J:135509	17906694
93580	Conditional mouse osteosarcoma, dependent on p53 loss and potentiated by loss of Rb, mimics the human disease.		Walkley CR; Qudsi R; Sankaran VG; Perry JA; Gostissa M; Roth SI; Rodda SJ; Snay E; Dunning P; Fahey FH; Alt FW; McMahon AP; Orkin SH		Genes Dev	22	2008	1662-76	J:136693	18559481
93581	Impaired DNA damage response, genome instability, and tumorigenesis in SIRT1 mutant mice.		Wang RH; Sengupta K; Li C; Kim HS; Cao L; Xiao C; Kim S; Xu X; Zheng Y; Chilton B; Jia R; Zheng ZM; Appella E; Wang XW; Ried T; Deng CX		Cancer Cell	14	2008	312-23	J:140089	18835033
93582	PARP-1 cooperates with Ptc1 to suppress medulloblastoma and basal cell carcinoma.		Tanori M; Mancuso M; Pasquali E; Leonardi S; Rebessi S; Di Majo V; Guilly MN; Giangaspero F; Covelli V; Pazzaglia S; Saran A		Carcinogenesis	29	2008	1911-9	J:139958	18660545
93583	The nonhomologous end joining factor Artemis suppresses multi-tissue tumor formation and prevents loss of heterozygosity.		Woo Y; Wright SM; Maas SA; Alley TL; Caddle LB; Kamdar S; Affourtit J; Foreman O; Akeson EC; Shaffer D; Bronson RT; Morse HC rd; Roopenian D; Mills KD		Oncogene	26	2007	6010-20	J:130286	17384673
93584	A transgenic mouse model of plasma cell malignancy shows phenotypic, cytogenetic, and gene expression heterogeneity similar to human multiple myeloma.		Boylan KL; Gosse MA; Staggs SE; Janz S; Grindle S; Kansas GS; Van Ness BG		Cancer Res	67	2007	4069-78	J:121329	17483317
93585	Synergy of p53 and Rb Deficiency in a Conditional Mouse Model for Metastatic Prostate Cancer.		Zhou Z; Flesken-Nikitin A; Corney DC; Wang W; Goodrich DW; Roy-Burman P; Nikitin AY		Cancer Res	66	2006	7889-98	J:112104	16912162
93586	On immunoglobulin heavy chain gene switching: two gamma 2b genes are rearranged via switch sequences in MPC-11 cells but only one is expressed.		Lang RB; Stanton LW; Marcu KB		Nucleic Acids Res	10	1982	611-30	J:6721	6278424
93587	53BP1 and p53 synergize to suppress genomic instability and lymphomagenesis.		Morales JC; Franco S; Murphy MM; Bassing CH; Mills KD; Adams MM; Walsh NC; Manis JP; Rassidakis GZ; Alt FW; Carpenter PB		Proc Natl Acad Sci U S A	103	2006	3310-5	J:107173	16492765
93588	The basal-like mammary carcinomas induced by Brca1 or Bard1 inactivation implicate the BRCA1/BARD1 heterodimer in tumor suppression.		Shakya R; Szabolcs M; McCarthy E; Ospina E; Basso K; Nandula S; Murty V; Baer R; Ludwig T		Proc Natl Acad Sci U S A	105	2008	7040-5	J:134977	18443292
93589	Tnk1/Kos1 knockout mice develop spontaneous tumors.		Hoare S; Hoare K; Reinhard MK; Lee YJ; Oh SP; May WS Jr		Cancer Res	68	2008	8723-32	J:140639	18974114
93590	MIF loss impairs Myc-induced lymphomagenesis.		Talos F; Mena P; Fingerle-Rowson G; Moll U; Petrenko O		Cell Death Differ	12	2005	1319-28	J:101099	15947793
93591	Maternal effects and cancer risk in the progeny of mice exposed to X-rays before conception.		Dasenbrock C; Tillmann T; Ernst H; Behnke W; Kellner R; Hagemann G; Kaever V; Kohler M; Rittinghausen S; Mohr U; Tomatis L		Exp Toxicol Pathol	56	2005	351-60	J:101100	15945274
93592	Helicobacter felis eradication restores normal architecture and inhibits gastric cancer progression in C57BL/6 mice.		Cai X; Carlson J; Stoicov C; Li H; Wang TC; Houghton J		Gastroenterology	128	2005	1937-52	J:101102	15940628
93593	Generation of a unique strain of multiple intestinal neoplasia (Apc(+/Min-FCCC)) mice with significantly increased numbers of colorectal adenomas.		Cooper HS; Chang WC; Coudry R; Gary MA; Everley L; Spittle CS; Wang H; Litwin S; Clapper ML		Mol Carcinog	44	2005	31-41	J:101103	15937958
93594	Tumor model-specific proviral insertional mutagenesis of the Fos/Jdp2/Batf locus.		Rasmussen MH; Sorensen AB; Morris DW; Dutra JC; Engelhard EK; Wang CL; Schmidt J; Pedersen FS		Virology	337	2005	353-64	J:101111	15913695
93595	Stat3 is required for ALK-mediated lymphomagenesis and provides a possible therapeutic target.		Chiarle R; Simmons WJ; Cai H; Dhall G; Zamo A; Raz R; Karras JG; Levy DE; Inghirami G		Nat Med	11	2005	623-9	J:101120	15895073
93596	Recruitment of latent pools of high-avidity CD8(+) T cells to the antitumor immune response.		Ercolini AM; Ladle BH; Manning EA; Pfannenstiel LW; Armstrong TD; Machiels JP; Bieler JG; Emens LA; Reilly RT; Jaffee EM		J Exp Med	201	2005	1591-602	J:101130	15883172
93597	Molecular characterization of salivary gland malignancy using the Smgb-Tag transgenic mouse model.		Makitie AA; Pintor Dos Reis P; Arora S; Macmillan C; Warner GC; Sukhai M; Dardick I; Perez-Ordonez B; Wells R; Brown D; Gilbert R; Freeman J; Gullane P; Irish J; Kamel-Reid S		Lab Invest	85	2005	947-61	J:101133	15880136
93598	Epithelial-stromal tumor of the seminal vesicles in the transgenic adenocarcinoma mouse prostate model.		Tani Y; Suttie A; Flake GP; Nyska A; Maronpot RR		Vet Pathol	42	2005	306-14	J:101136	15872376
93599	Effect of N-cadherin misexpression by the mammary epithelium in mice.		Knudsen KA; Sauer C; Johnson KR; Wheelock MJ		J Cell Biochem	95	2005	1093-107	J:101141	15838877
93600	A mutation in stratifin is responsible for the repeated epilation (Er) phenotype in mice.		Herron BJ; Liddell RA; Parker A; Grant S; Kinne J; Fisher JK; Siracusa LD		Nat Genet	37	2005	1210-2	J:101891	16200063
93601	Leptin receptor-deficient MMTV-TGF-alpha/Lepr(db)Lepr(db) female mice do not develop oncogene-induced mammary tumors.		Cleary MP; Juneja SC; Phillips FC; Hu X; Grande JP; Maihle NJ		Exp Biol Med (Maywood)	229	2004	182-93	J:102011	14734797
93602	Abdominal obesity, insulin resistance, and colon carcinogenesis are increased in mutant mice lacking gastrin gene expression.		Cowey SL; Quast M; Belalcazar LM; Wei J; Deng X; Given R; Singh P		Cancer	103	2005	2643-53	J:102108	15864814
93603	Oncogenesis following delivery of a nonprimate lentiviral gene therapy vector to fetal and neonatal mice.		Themis M; Waddington SN; Schmidt M; von Kalle C; Wang Y; Al-Allaf F; Gregory LG; Nivsarkar M; Themis M; Holder MV; Buckley SM; Dighe N; Ruthe AT; Mistry A; Bigger B; Rahim A; Nguyen TH; Trono D; Thrasher AJ; Coutelle C		Mol Ther	12	2005	763-71	J:102125	16084128
93604	Absence of pathogenic mitochondrial DNA mutations in mouse brain tumors.		Kiebish MA; Seyfried TN		BMC Cancer	5	2005	102	J:102140	16105171
93605	Insertion of Myc into Igh accelerates peritoneal plasmacytomas in mice.		Park SS; Shaffer AL; Kim JS; duBois W; Potter M; Staudt LM; Janz S		Cancer Res	65	2005	7644-52	J:102146	16140930
93606	Hypomorphic mutation of PDK1 suppresses tumorigenesis in PTEN(+/-) mice.		Bayascas JR; Leslie NR; Parsons R; Fleming S; Alessi DR		Curr Biol	15	2005	1839-46	J:102216	16243031
93607	Pten constrains centroacinar cell expansion and malignant transformation in the pancreas.		Stanger BZ; Stiles B; Lauwers GY; Bardeesy N; Mendoza M; Wang Y; Greenwood A; Cheng KH; McLaughlin M; Brown D; Depinho RA; Wu H; Melton DA; Dor Y		Cancer Cell	8	2005	185-95	J:102226	16169464
93608	The transcriptional repressor Snail promotes mammary tumor recurrence.		Moody SE; Perez D; Pan TC; Sarkisian CJ; Portocarrero CP; Sterner CJ; Notorfrancesco KL; Cardiff RD; Chodosh LA		Cancer Cell	8	2005	197-209	J:102242	16169465
93609	Conditional hepatocarcinogenesis in mice expressing SV 40 early sequences.		Lou DQ; Molina T; Bennoun M; Porteu A; Briand P; Joulin V; Vasseur-Cognet M; Cavard C		Cancer Lett	229	2005	107-14	J:102246	16157222
93610	High incidence, early onset of histiocytic sarcomas in mice with Hertwig's anemia.		Barker JE; Deveau SA; Compton ST; Fancher K; Eppig JT		Exp Hematol	33	2005	1118-29	J:102334	16219534
93611	53BP1 cooperates with p53 and functions as a haploinsufficient tumor suppressor in mice.		Ward IM; Difilippantonio S; Minn K; Mueller MD; Molina JR; Yu X; Frisk CS; Ried T; Nussenzweig A; Chen J		Mol Cell Biol	25	2005	10079-86	J:102355	16260621
93612	RelB/p52 NF-kappaB complexes rescue an early delay in mammary gland development in transgenic mice with targeted superrepressor IkappaB-alpha expression and promote carcinogenesis of the mammary gland.		Demicco EG; Kavanagh KT; Romieu-Mourez R; Wang X; Shin SR; Landesman-Bollag E; Seldin DC; Sonenshein GE		Mol Cell Biol	25	2005	10136-47	J:102359	16260626
93613	Ets2-dependent microenvironmental support of mouse mammary tumors.		Tynan JA; Wen F; Muller WJ; Oshima RG		Oncogene	24	2005	6870-6	J:102368	16007139
93614	Raised expression of the antiapoptotic protein ped/pea-15 increases susceptibility to chemically induced skin tumor development.		Formisano P; Perruolo G; Libertini S; Santopietro S; Troncone G; Raciti GA; Oriente F; Portella G; Miele C; Beguinot F		Oncogene	24	2005	7012-21	J:102369	16044159
93615	Fate of UVB-induced p53 mutations in SKH-hr1 mouse skin after discontinuation of irradiation: relationship to skin cancer development.		Melnikova VO; Pacifico A; Chimenti S; Peris K; Ananthaswamy HN		Oncogene	24	2005	7055-63	J:102370	16007135
93616	A moderate reduction of Bcl-x(L) expression protects against tumorigenesis; however, it also increases susceptibility to tissue injury.		Henderson CC; Zhang Z; Manson SR; Riehm JJ; Kataoka M; Flye MW; Garbow JR; You M; Weintraub SJ		Oncogene	24	2005	7120-4	J:102371	16007126
93617	Hyperplastic gastric tumors with spasmolytic polypeptide-expressing metaplasia caused by tumor necrosis factor-alpha-dependent inflammation in cyclooxygenase-2/microsomal prostaglandin E synthase-1 transgenic mice.		Oshima M; Oshima H; Matsunaga A; Taketo MM		Cancer Res	65	2005	9147-51	J:102372	16230370
93618	Lack of expression of the EP2 but not EP3 receptor for prostaglandin E2 results in suppression of skin tumor development.		Sung YM; He G; Fischer SM		Cancer Res	65	2005	9304-11	J:102373	16230392
93619	Misregulated Wnt/beta-catenin signaling leads to ovarian granulosa cell tumor development.		Boerboom D; Paquet M; Hsieh M; Liu J; Jamin SP; Behringer RR; Sirois J; Taketo MM; Richards JS		Cancer Res	65	2005	9206-15	J:102374	16230381
93620	Critical function for ADAM9 in mouse prostate cancer.		Peduto L; Reuter VE; Shaffer DR; Scher HI; Blobel CP		Cancer Res	65	2005	9312-9	J:102376	16230393
93621	p27kip1 in intestinal tumorigenesis and chemoprevention in the mouse.		Yang W; Bancroft L; Liang J; Zhuang M; Augenlicht LH		Cancer Res	65	2005	9363-8	J:102377	16230399
93622	Snm1-deficient mice exhibit accelerated tumorigenesis and susceptibility to infection.		Ahkter S; Richie CT; Zhang N; Behringer RR; Zhu C; Legerski RJ		Mol Cell Biol	25	2005	10071-8	J:102381	16260620
93623	Tumor promotion by caspase-resistant retinoblastoma protein.		Borges HL; Bird J; Wasson K; Cardiff RD; Varki N; Eckmann L; Wang JY		Proc Natl Acad Sci U S A	102	2005	15587-92	J:102483	16227443
93624	Life-span inhalation exposure to mainstream cigarette smoke induces lung cancer in B6C3F1 mice through genetic and epigenetic pathways.		Hutt JA; Vuillemenot BR; Barr EB; Grimes MJ; Hahn FF; Hobbs CH; March TH; Gigliotti AP; Seilkop SK; Finch GL; Mauderly JL; Belinsky SA		Carcinogenesis	26	2005	1999-2009	J:102522	15944214
93625	XPF nuclease-dependent telomere loss and increased DNA damage in mice overexpressing TRF2 result in premature aging and cancer.		Munoz P; Blanco R; Flores JM; Blasco MA		Nat Genet	37	2005	1063-71	J:102653	16142233
93626	Unexpected roles for pRb in mouse skin carcinogenesis.		Ruiz S; Santos M; Lara MF; Segrelles C; Ballestin C; Paramio JM		Cancer Res	65	2005	9678-86	J:102689	16266987
93627	Genetic ablation of protein tyrosine phosphatase 1B accelerates lymphomagenesis of p53-null mice through the regulation of B-cell development.		Dube N; Bourdeau A; Heinonen KM; Cheng A; Loy AL; Tremblay ML		Cancer Res	65	2005	10088-95	J:102693	16267035
93628	HER2/neu-induced mammary tumorigenesis and angiogenesis are reduced in cyclooxygenase-2 knockout mice.		Howe LR; Chang SH; Tolle KC; Dillon R; Young LJ; Cardiff RD; Newman RA; Yang P; Thaler HT; Muller WJ; Hudis C; Brown AM; Hla T; Subbaramaiah K; Dannenberg AJ		Cancer Res	65	2005	10113-9	J:102694	16267038
93629	Contributions by MutL homologues Mlh3 and Pms2 to DNA mismatch repair and tumor suppression in the mouse.		Chen PC; Dudley S; Hagen W; Dizon D; Paxton L; Reichow D; Yoon SR; Yang K; Arnheim N; Liskay RM; Lipkin SM		Cancer Res	65	2005	8662-70	J:102704	16204034
93630	Relationship between UV-induced mutant p53 patches and skin tumours, analysed by mutation spectra and by induction kinetics in various DNA-repair-deficient mice.		Rebel H; Kram N; Westerman A; Banus S; van Kranen HJ; de Gruijl FR		Carcinogenesis	26	2005	2123-30	J:102840	16051635
93631	Prostaglandin E receptor EP3 deficiency modifies tumor outcome in mouse two-stage skin carcinogenesis.		Shoji Y; Takahashi M; Takasuka N; Niho N; Kitamura T; Sato H; Maruyama T; Sugimoto Y; Narumiya S; Sugimura T; Wakabayashi K		Carcinogenesis	26	2005	2116-22	J:102841	16051640
93632	Induction of invasive mouse skin carcinomas in transgenic mice with mutations in both H-ras and p53.		Zhang Z; Yao R; Li J; Wang Y; Boone CW; Lubet RA; You M		Mol Cancer Res	3	2005	563-74	J:102874	16254190
93633	Fetal but not adult Leydig cells are susceptible to adenoma formation in response to persistently high hCG level: a study on hCG overexpressing transgenic mice.		Ahtiainen P; Rulli SB; Shariatmadari R; Pelliniemi LJ; Toppari J; Poutanen M; Huhtaniemi IT		Oncogene	24	2005	7301-9	J:102880	16007123
93634	Murine gammaherpesvirus 68 infection is associated with lymphoproliferative disease and lymphoma in BALB beta2 microglobulin-deficient mice.		Tarakanova VL; Suarez F; Tibbetts SA; Jacoby MA; Weck KE; Hess JL; Speck SH; Virgin HW th		J Virol	79	2005	14668-79	J:102883	16282467
93635	Vitamin D receptor (VDR) ablation alters carcinogen-induced tumorigenesis in mammary gland, epidermis and lymphoid tissues.		Zinser GM; Suckow M; Welsh J		J Steroid Biochem Mol Biol	97	2005	153-64	J:102891	16111884
93636	Skin hyperproliferation and susceptibility to chemical carcinogenesis in transgenic mice expressing E6 and E7 of human papillomavirus type 38.		Dong W; Kloz U; Accardi R; Caldeira S; Tong WM; Wang ZQ; Jansen L; Durst M; Sylla BS; Gissmann L; Tommasino M		J Virol	79	2005	14899-908	J:102913	16282489
93637	Immunohistochemical and genetic analysis of mandibular cysts in heterozygous ptc knockout mice.		Kimi K; Ohki K; Kumamoto H; Kondo M; Taniguchi Y; Tanigami A; Ooya K		J Oral Pathol Med	32	2003	108-13	J:102978	12542834
93638	Transforming acidic coiled coil 1 promotes transformation and mammary tumorigenesis.		Cully M; Shiu J; Piekorz RP; Muller WJ; Done SJ; Mak TW		Cancer Res	65	2005	10363-70	J:103403	16288026
93639	CCAAT/enhancer binding protein alpha knock-in mice exhibit early liver glycogen storage and reduced susceptibility to hepatocellular carcinoma.		Tan EH; Hooi SC; Laban M; Wong E; Ponniah S; Wee A; Wang ND		Cancer Res	65	2005	10330-7	J:103404	16288022
93640	A direct test of potential roles for beta3 and beta5 integrins in growth and metastasis of murine mammary carcinomas.		Taverna D; Crowley D; Connolly M; Bronson RT; Hynes RO		Cancer Res	65	2005	10324-9	J:103405	16288021
93641	Enhanced DDB2 expression protects mice from carcinogenic effects of chronic UV-B irradiation.		Alekseev S; Kool H; Rebel H; Fousteri M; Moser J; Backendorf C; de Gruijl FR; Vrieling H; Mullenders LH		Cancer Res	65	2005	10298-306	J:103406	16288018
93642	Cyclin-dependent kinase 4 expression is essential for neu-induced breast tumorigenesis.		Reddy HK; Mettus RV; Rane SG; Grana X; Litvin J; Reddy EP		Cancer Res	65	2005	10174-8	J:103411	16288002
93643	Rescue of Mdm4-deficient mice by Mdm2 reveals functional overlap of Mdm2 and Mdm4 in development.		Steinman HA; Hoover KM; Keeler ML; Sands AT; Jones SN		Oncogene	24	2005	7935-40	J:103425	16027727
93644	Genomic instability in radiation-induced mouse lymphoma from p53 heterozygous mice.		Mao JH; Li J; Jiang T; Li Q; Wu D; Perez-Losada J; DelRosario R; Peterson L; Balmain A; Cai WW		Oncogene	24	2005	7924-34	J:103426	16116484
93645	FLT3 internal tandem duplication mutations induce myeloproliferative or lymphoid disease in a transgenic mouse model.		Lee BH; Williams IR; Anastasiadou E; Boulton CL; Joseph SW; Amaral SM; Curley DP; Duclos N; Huntly BJ; Fabbro D; Griffin JD; Gilliland DG		Oncogene	24	2005	7882-92	J:103427	16116483
93646	Fine allelotyping of Erbb2-induced mammary tumors in mice reveals multiple discontinuous candidate regions of tumor-suppressor loci.		Cool M; Depault F; Jolicoeur P		Genes Chromosomes Cancer	45	2006	191-202	J:103450	16258954
93647	Sporadic immunogenic tumours avoid destruction by inducing T-cell tolerance.		Willimsky G; Blankenstein T		Nature	437	2005	141-6	J:103546	16136144
93648	Differential regulation of gastric tumor growth by cytokines that signal exclusively through the coreceptor gp130.		Howlett M; Judd LM; Jenkins B; La Gruta NL; Grail D; Ernst M; Giraud AS		Gastroenterology	129	2005	1005-18	J:103565	16143138
